[2025-Nov-04 02:56:21.831537] <info>: (UrlShortenService.cpp:89:main) Starting the url-shorten-service server...
[2025-Nov-04 02:58:25.880346] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=486324124695398080, url count=0]
[2025-Nov-04 02:58:25.880633] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=486324124695398080, return count=0]
[2025-Nov-04 02:58:31.249093] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=885796910012121728, url count=0]
[2025-Nov-04 02:58:31.249267] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=885796910012121728, return count=0]
[2025-Nov-04 02:58:36.627897] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=1104392347718618240, url count=0]
[2025-Nov-04 02:58:36.628050] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=1104392347718618240, return count=0]
[2025-Nov-04 02:58:41.985049] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=162281387748801600, url count=0]
[2025-Nov-04 02:58:41.985208] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=162281387748801600, return count=0]
[2025-Nov-04 02:58:47.343811] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=953291639474888832, url count=0]
[2025-Nov-04 02:58:47.344040] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=953291639474888832, return count=0]
[2025-Nov-04 02:58:52.696486] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=342887880555957696, url count=0]
[2025-Nov-04 02:58:52.696626] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=342887880555957696, return count=0]
[2025-Nov-04 02:58:58.055510] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=377968913827493824, url count=0]
[2025-Nov-04 02:58:58.055696] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=377968913827493824, return count=0]
[2025-Nov-04 02:59:03.427218] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=603369128777823744, url count=0]
[2025-Nov-04 02:59:03.427468] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=603369128777823744, return count=0]
[2025-Nov-04 02:59:08.777341] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=1083013615067335936, url count=0]
[2025-Nov-04 02:59:08.777487] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=1083013615067335936, return count=0]
[2025-Nov-04 02:59:14.148040] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=313476862062451712, url count=0]
[2025-Nov-04 02:59:14.148196] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=313476862062451712, return count=0]
[2025-Nov-04 02:59:19.529084] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=246331862173535168, url count=0]
