[2025-Nov-04 02:56:21.010187] <info>: (UserMentionService.cpp:75:main) Starting the user-mention-service server...
[2025-Nov-04 02:58:25.880334] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=486324124695398080, usernames count=0]
[2025-Nov-04 02:58:25.880646] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=486324124695398080, total user_mentions count=0]
[2025-Nov-04 02:58:25.880722] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=486324124695398080, return count=0]
[2025-Nov-04 02:58:31.249390] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=885796910012121728, usernames count=0]
[2025-Nov-04 02:58:31.249631] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=885796910012121728, total user_mentions count=0]
[2025-Nov-04 02:58:31.249689] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=885796910012121728, return count=0]
[2025-Nov-04 02:58:36.627950] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=1104392347718618240, usernames count=0]
[2025-Nov-04 02:58:36.628169] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=1104392347718618240, total user_mentions count=0]
[2025-Nov-04 02:58:36.628203] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=1104392347718618240, return count=0]
[2025-Nov-04 02:58:41.985088] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=162281387748801600, usernames count=0]
[2025-Nov-04 02:58:41.985250] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=162281387748801600, total user_mentions count=0]
[2025-Nov-04 02:58:41.985284] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=162281387748801600, return count=0]
[2025-Nov-04 02:58:47.343640] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=953291639474888832, usernames count=0]
[2025-Nov-04 02:58:47.343797] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=953291639474888832, total user_mentions count=0]
[2025-Nov-04 02:58:47.343827] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=953291639474888832, return count=0]
[2025-Nov-04 02:58:52.696555] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=342887880555957696, usernames count=0]
[2025-Nov-04 02:58:52.696721] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=342887880555957696, total user_mentions count=0]
[2025-Nov-04 02:58:52.696749] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=342887880555957696, return count=0]
[2025-Nov-04 02:58:58.055905] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=377968913827493824, usernames count=0]
[2025-Nov-04 02:58:58.056071] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=377968913827493824, total user_mentions count=0]
[2025-Nov-04 02:58:58.056105] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=377968913827493824, return count=0]
[2025-Nov-04 02:59:03.427153] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=603369128777823744, usernames count=0]
[2025-Nov-04 02:59:03.427359] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=603369128777823744, total user_mentions count=0]
[2025-Nov-04 02:59:03.427458] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=603369128777823744, return count=0]
[2025-Nov-04 02:59:08.777389] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=1083013615067335936, usernames count=0]
[2025-Nov-04 02:59:08.777509] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=1083013615067335936, total user_mentions count=0]
[2025-Nov-04 02:59:08.777541] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=1083013615067335936, return count=0]
[2025-Nov-04 02:59:14.148291] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=313476862062451712, usernames count=0]
[2025-Nov-04 02:59:14.148427] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=313476862062451712, total user_mentions count=0]
[2025-Nov-04 02:59:14.148459] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=313476862062451712, return count=0]
[2025-Nov-04 02:59:19.529322] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=246331862173535168, usernames count=0]
[2025-Nov-04 02:59:19.529809] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=246331862173535168, total user_mentions count=0]
[2025-Nov-04 02:59:19.529864] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=246331862173535168, return count=0]
[2025-Nov-04 02:59:24.897666] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=490151328678246144, usernames count=0]
[2025-Nov-04 02:59:24.897845] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=490151328678246144, total user_mentions count=0]
[2025-Nov-04 02:59:24.897904] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=490151328678246144, return count=0]
[2025-Nov-04 02:59:30.264883] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=313809494384816640, usernames count=0]
[2025-Nov-04 02:59:30.265077] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=313809494384816640, total user_mentions count=0]
[2025-Nov-04 02:59:30.265164] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=313809494384816640, return count=0]
[2025-Nov-04 02:59:35.627131] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=7230384885325946, usernames count=0]
[2025-Nov-04 02:59:35.627268] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=7230384885325946, total user_mentions count=0]
[2025-Nov-04 02:59:35.627300] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=7230384885325946, return count=0]
[2025-Nov-04 02:59:40.973470] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=902831150455837184, usernames count=0]
[2025-Nov-04 02:59:40.973617] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=902831150455837184, total user_mentions count=0]
[2025-Nov-04 02:59:40.973651] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=902831150455837184, return count=0]
[2025-Nov-04 02:59:46.324444] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=900604106867593600, usernames count=0]
[2025-Nov-04 02:59:46.324578] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=900604106867593600, total user_mentions count=0]
[2025-Nov-04 02:59:46.324685] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=900604106867593600, return count=0]
[2025-Nov-04 02:59:51.719566] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=199931370054366240, usernames count=0]
[2025-Nov-04 02:59:51.719781] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=199931370054366240, total user_mentions count=0]
[2025-Nov-04 02:59:51.719842] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=199931370054366240, return count=0]
[2025-Nov-04 02:59:57.070127] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=664610168315405696, usernames count=0]
[2025-Nov-04 02:59:57.070411] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=664610168315405696, total user_mentions count=0]
[2025-Nov-04 02:59:57.070456] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=664610168315405696, return count=0]
[2025-Nov-04 03:00:02.417739] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=127123505366672064, usernames count=0]
[2025-Nov-04 03:00:02.418080] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=127123505366672064, total user_mentions count=0]
[2025-Nov-04 03:00:02.418149] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=127123505366672064, return count=0]
[2025-Nov-04 03:00:07.797740] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=992938581789726208, usernames count=0]
[2025-Nov-04 03:00:07.797994] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=992938581789726208, total user_mentions count=0]
[2025-Nov-04 03:00:07.798033] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=992938581789726208, return count=0]
[2025-Nov-04 03:00:13.164131] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=1122847616528820224, usernames count=0]
[2025-Nov-04 03:00:13.164290] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=1122847616528820224, total user_mentions count=0]
[2025-Nov-04 03:00:13.164319] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=1122847616528820224, return count=0]
[2025-Nov-04 03:00:18.538524] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=437323912374312064, usernames count=0]
[2025-Nov-04 03:00:18.538665] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=437323912374312064, total user_mentions count=0]
[2025-Nov-04 03:00:18.538707] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=437323912374312064, return count=0]
[2025-Nov-04 03:00:23.889272] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=20460340970636584, usernames count=0]
[2025-Nov-04 03:00:23.889446] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=20460340970636584, total user_mentions count=0]
[2025-Nov-04 03:00:23.889519] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=20460340970636584, return count=0]
[2025-Nov-04 03:00:29.251965] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=30897935045850176, usernames count=0]
[2025-Nov-04 03:00:29.252090] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=30897935045850176, total user_mentions count=0]
[2025-Nov-04 03:00:29.252126] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=30897935045850176, return count=0]
[2025-Nov-04 03:00:34.607183] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=908087361205002368, usernames count=0]
[2025-Nov-04 03:00:34.607318] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=908087361205002368, total user_mentions count=0]
[2025-Nov-04 03:00:34.607359] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=908087361205002368, return count=0]
[2025-Nov-04 03:00:39.971293] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=280197670310834752, usernames count=0]
[2025-Nov-04 03:00:39.971478] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=280197670310834752, total user_mentions count=0]
[2025-Nov-04 03:00:39.971520] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=280197670310834752, return count=0]
[2025-Nov-04 03:00:45.344188] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=970414906722945792, usernames count=0]
[2025-Nov-04 03:00:45.344334] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=970414906722945792, total user_mentions count=0]
[2025-Nov-04 03:00:45.344362] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=970414906722945792, return count=0]
[2025-Nov-04 03:00:50.705595] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=433460826945560448, usernames count=0]
[2025-Nov-04 03:00:50.705951] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=433460826945560448, total user_mentions count=0]
[2025-Nov-04 03:00:50.706010] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=433460826945560448, return count=0]
[2025-Nov-04 03:00:56.093672] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=433187706239056704, usernames count=0]
[2025-Nov-04 03:00:56.093910] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=433187706239056704, total user_mentions count=0]
[2025-Nov-04 03:00:56.093970] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=433187706239056704, return count=0]
[2025-Nov-04 03:01:01.451427] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=97062098573349440, usernames count=0]
[2025-Nov-04 03:01:01.451634] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=97062098573349440, total user_mentions count=0]
[2025-Nov-04 03:01:01.451708] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=97062098573349440, return count=0]
[2025-Nov-04 03:01:06.844218] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=883998480727733248, usernames count=0]
[2025-Nov-04 03:01:06.844546] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=883998480727733248, total user_mentions count=0]
[2025-Nov-04 03:01:06.844599] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=883998480727733248, return count=0]
[2025-Nov-04 03:01:12.202283] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=151240905354864992, usernames count=0]
[2025-Nov-04 03:01:12.202601] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=151240905354864992, total user_mentions count=0]
[2025-Nov-04 03:01:12.202670] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=151240905354864992, return count=0]
[2025-Nov-04 03:01:17.599162] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=167396208329106944, usernames count=0]
[2025-Nov-04 03:01:17.599353] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=167396208329106944, total user_mentions count=0]
[2025-Nov-04 03:01:17.599409] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=167396208329106944, return count=0]
