[2025-Nov-03 22:03:11.064817] <info>: (PostStorageService.cpp:88:main) Starting the post-storage-service server...
[2025-Nov-03 22:05:03.980453] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=43229393605794440, post_ids count=0]
[2025-Nov-03 22:05:04.005531] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=644931833795737216, post_id=1230496223587717120]
[2025-Nov-03 22:05:04.006365] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=644931833795737216, post_id=1230496223587717120]
[2025-Nov-03 22:05:04.020946] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=179940748294950656, post_ids count=0]
[2025-Nov-03 22:05:04.033973] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=762478757347115008, post_ids count=0]
[2025-Nov-03 22:05:09.376288] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=894586886300461440, post_ids count=0]
[2025-Nov-03 22:05:09.390244] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=1141705460314226304, post_id=1230496223609794560]
[2025-Nov-03 22:05:09.391077] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=1141705460314226304, post_id=1230496223609794560]
[2025-Nov-03 22:05:09.400187] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=267746240597997024, post_ids count=0]
[2025-Nov-03 22:05:09.409670] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=304125621732065024, post_ids count=0]
[2025-Nov-03 22:05:14.731169] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=829858329161755648, post_ids count=0]
[2025-Nov-03 22:05:14.744436] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=25092719621304320, post_id=1230496223631724544]
[2025-Nov-03 22:05:14.745124] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=25092719621304320, post_id=1230496223631724544]
[2025-Nov-03 22:05:14.754330] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=846652911325469312, post_ids count=0]
[2025-Nov-03 22:05:14.760800] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=821866687097098240, post_ids count=0]
[2025-Nov-03 22:05:20.097158] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=203730715182043488, post_ids count=0]
[2025-Nov-03 22:05:20.110846] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=473802275579832384, post_id=1230496223653699584]
[2025-Nov-03 22:05:20.111699] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=473802275579832384, post_id=1230496223653699584]
[2025-Nov-03 22:05:20.122639] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=777154419487206912, post_ids count=0]
[2025-Nov-03 22:05:20.131252] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=948527512107699328, post_ids count=0]
[2025-Nov-03 22:05:25.467310] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=112502034182672432, post_ids count=0]
[2025-Nov-03 22:05:25.480683] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=708351769102285952, post_id=1230496223675703296]
[2025-Nov-03 22:05:25.481626] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=708351769102285952, post_id=1230496223675703296]
[2025-Nov-03 22:05:25.492237] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=1094340645886715648, post_ids count=0]
[2025-Nov-03 22:05:25.503457] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=955334690245271040, post_ids count=0]
[2025-Nov-03 22:05:30.831673] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=1089473270326482176, post_ids count=0]
[2025-Nov-03 22:05:30.842531] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=1086746256611597568, post_id=1230496223697666048]
[2025-Nov-03 22:05:30.843259] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=1086746256611597568, post_id=1230496223697666048]
[2025-Nov-03 22:05:30.852379] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=194661383627075552, post_ids count=0]
[2025-Nov-03 22:05:30.858864] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=1068949294666999296, post_ids count=0]
[2025-Nov-03 22:05:36.179000] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=1110335153823722752, post_ids count=0]
[2025-Nov-03 22:05:36.191399] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=176865968639057888, post_id=1230496223719567360]
[2025-Nov-03 22:05:36.192095] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=176865968639057888, post_id=1230496223719567360]
