[2025-Nov-03 22:03:13.284216] <info>: (UrlShortenService.cpp:89:main) Starting the url-shorten-service server...
[2025-Nov-03 22:05:04.002584] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=644931833795737216, url count=0]
[2025-Nov-03 22:05:04.002922] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=644931833795737216, return count=0]
[2025-Nov-03 22:05:09.388653] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=1141705460314226304, url count=0]
[2025-Nov-03 22:05:09.388861] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=1141705460314226304, return count=0]
[2025-Nov-03 22:05:14.742436] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=25092719621304320, url count=0]
[2025-Nov-03 22:05:14.742578] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=25092719621304320, return count=0]
[2025-Nov-03 22:05:20.108704] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=473802275579832384, url count=0]
[2025-Nov-03 22:05:20.108900] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=473802275579832384, return count=0]
[2025-Nov-03 22:05:25.478917] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=708351769102285952, url count=0]
[2025-Nov-03 22:05:25.479072] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=708351769102285952, return count=0]
[2025-Nov-03 22:05:30.841153] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=1086746256611597568, url count=0]
[2025-Nov-03 22:05:30.841301] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=1086746256611597568, return count=0]
[2025-Nov-03 22:05:36.189359] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=176865968639057888, url count=0]
[2025-Nov-03 22:05:36.189498] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=176865968639057888, return count=0]
[2025-Nov-03 22:05:41.531629] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=43225609333550080, url count=0]
[2025-Nov-03 22:05:41.531790] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=43225609333550080, return count=0]
[2025-Nov-03 22:05:46.874931] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=221766773924813856, url count=0]
[2025-Nov-03 22:05:46.875062] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=221766773924813856, return count=0]
[2025-Nov-03 22:05:52.222587] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=459564763629693312, url count=0]
[2025-Nov-03 22:05:52.222822] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=459564763629693312, return count=0]
[2025-Nov-03 22:05:57.572513] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=67702870758975296, url count=0]
[2025-Nov-03 22:05:57.572815] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=67702870758975296, return count=0]
[2025-Nov-03 22:06:02.947862] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=1052818739793053440, url count=0]
[2025-Nov-03 22:06:02.948049] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=1052818739793053440, return count=0]
[2025-Nov-03 22:06:08.303975] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=482936484206817728, url count=0]
[2025-Nov-03 22:06:08.304124] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=482936484206817728, return count=0]
[2025-Nov-03 22:06:13.668126] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=51306035890665640, url count=0]
[2025-Nov-03 22:06:13.668330] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=51306035890665640, return count=0]
[2025-Nov-03 22:06:19.028425] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=626478232607279104, url count=0]
[2025-Nov-03 22:06:19.028552] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=626478232607279104, return count=0]
[2025-Nov-03 22:06:24.399626] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=424522604539953280, url count=0]
[2025-Nov-03 22:06:24.399819] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=424522604539953280, return count=0]
[2025-Nov-03 22:06:29.757318] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=1116164073901709184, url count=0]
[2025-Nov-03 22:06:29.757445] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=1116164073901709184, return count=0]
[2025-Nov-03 22:06:35.129855] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=1108023458744474240, url count=0]
[2025-Nov-03 22:06:35.129989] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=1108023458744474240, return count=0]
[2025-Nov-03 22:06:40.511338] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=1024276122556639232, url count=0]
[2025-Nov-03 22:06:40.511476] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=1024276122556639232, return count=0]
