[2025-Nov-03 22:03:12.819820] <info>: (UserMentionService.cpp:75:main) Starting the user-mention-service server...
[2025-Nov-03 22:05:04.002544] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=644931833795737216, usernames count=0]
[2025-Nov-03 22:05:04.002977] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=644931833795737216, total user_mentions count=0]
[2025-Nov-03 22:05:04.003030] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=644931833795737216, return count=0]
[2025-Nov-03 22:05:09.388703] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=1141705460314226304, usernames count=0]
[2025-Nov-03 22:05:09.389099] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=1141705460314226304, total user_mentions count=0]
[2025-Nov-03 22:05:09.389148] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=1141705460314226304, return count=0]
[2025-Nov-03 22:05:14.742483] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=25092719621304320, usernames count=0]
[2025-Nov-03 22:05:14.743009] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=25092719621304320, total user_mentions count=0]
[2025-Nov-03 22:05:14.743185] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=25092719621304320, return count=0]
[2025-Nov-03 22:05:20.108814] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=473802275579832384, usernames count=0]
[2025-Nov-03 22:05:20.108957] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=473802275579832384, total user_mentions count=0]
[2025-Nov-03 22:05:20.109005] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=473802275579832384, return count=0]
[2025-Nov-03 22:05:25.479245] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=708351769102285952, usernames count=0]
[2025-Nov-03 22:05:25.479414] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=708351769102285952, total user_mentions count=0]
[2025-Nov-03 22:05:25.479459] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=708351769102285952, return count=0]
[2025-Nov-03 22:05:30.841195] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=1086746256611597568, usernames count=0]
[2025-Nov-03 22:05:30.841337] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=1086746256611597568, total user_mentions count=0]
[2025-Nov-03 22:05:30.841376] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=1086746256611597568, return count=0]
[2025-Nov-03 22:05:36.189454] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=176865968639057888, usernames count=0]
[2025-Nov-03 22:05:36.189605] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=176865968639057888, total user_mentions count=0]
[2025-Nov-03 22:05:36.189797] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=176865968639057888, return count=0]
[2025-Nov-03 22:05:41.531672] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=43225609333550080, usernames count=0]
[2025-Nov-03 22:05:41.531831] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=43225609333550080, total user_mentions count=0]
[2025-Nov-03 22:05:41.531865] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=43225609333550080, return count=0]
[2025-Nov-03 22:05:46.874944] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=221766773924813856, usernames count=0]
[2025-Nov-03 22:05:46.875077] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=221766773924813856, total user_mentions count=0]
[2025-Nov-03 22:05:46.875117] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=221766773924813856, return count=0]
[2025-Nov-03 22:05:52.222749] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=459564763629693312, usernames count=0]
[2025-Nov-03 22:05:52.222914] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=459564763629693312, total user_mentions count=0]
[2025-Nov-03 22:05:52.222951] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=459564763629693312, return count=0]
[2025-Nov-03 22:05:57.572414] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=67702870758975296, usernames count=0]
[2025-Nov-03 22:05:57.572553] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=67702870758975296, total user_mentions count=0]
[2025-Nov-03 22:05:57.572594] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=67702870758975296, return count=0]
[2025-Nov-03 22:06:02.947873] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=1052818739793053440, usernames count=0]
[2025-Nov-03 22:06:02.947995] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=1052818739793053440, total user_mentions count=0]
[2025-Nov-03 22:06:02.948036] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=1052818739793053440, return count=0]
[2025-Nov-03 22:06:08.303930] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=482936484206817728, usernames count=0]
[2025-Nov-03 22:06:08.304075] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=482936484206817728, total user_mentions count=0]
[2025-Nov-03 22:06:08.304107] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=482936484206817728, return count=0]
[2025-Nov-03 22:06:13.668229] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=51306035890665640, usernames count=0]
[2025-Nov-03 22:06:13.668439] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=51306035890665640, total user_mentions count=0]
[2025-Nov-03 22:06:13.668526] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=51306035890665640, return count=0]
[2025-Nov-03 22:06:19.028422] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=626478232607279104, usernames count=0]
[2025-Nov-03 22:06:19.028553] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=626478232607279104, total user_mentions count=0]
[2025-Nov-03 22:06:19.028584] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=626478232607279104, return count=0]
[2025-Nov-03 22:06:24.399254] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=424522604539953280, usernames count=0]
[2025-Nov-03 22:06:24.399426] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=424522604539953280, total user_mentions count=0]
[2025-Nov-03 22:06:24.399472] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=424522604539953280, return count=0]
[2025-Nov-03 22:06:29.757326] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=1116164073901709184, usernames count=0]
[2025-Nov-03 22:06:29.757460] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=1116164073901709184, total user_mentions count=0]
[2025-Nov-03 22:06:29.757492] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=1116164073901709184, return count=0]
[2025-Nov-03 22:06:35.129881] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=1108023458744474240, usernames count=0]
[2025-Nov-03 22:06:35.130054] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=1108023458744474240, total user_mentions count=0]
[2025-Nov-03 22:06:35.130111] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=1108023458744474240, return count=0]
[2025-Nov-03 22:06:40.511429] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=1024276122556639232, usernames count=0]
[2025-Nov-03 22:06:40.511595] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=1024276122556639232, total user_mentions count=0]
[2025-Nov-03 22:06:40.511918] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=1024276122556639232, return count=0]
[2025-Nov-03 22:06:45.879690] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=588124662839759104, usernames count=0]
[2025-Nov-03 22:06:45.879949] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=588124662839759104, total user_mentions count=0]
[2025-Nov-03 22:06:45.879996] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=588124662839759104, return count=0]
[2025-Nov-03 22:06:51.233167] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=968963237183671552, usernames count=0]
[2025-Nov-03 22:06:51.233295] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=968963237183671552, total user_mentions count=0]
[2025-Nov-03 22:06:51.233325] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=968963237183671552, return count=0]
[2025-Nov-03 22:06:56.579275] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=314022383537750016, usernames count=0]
[2025-Nov-03 22:06:56.579598] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=314022383537750016, total user_mentions count=0]
[2025-Nov-03 22:06:56.579711] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=314022383537750016, return count=0]
[2025-Nov-03 22:07:01.927888] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=719124203154139392, usernames count=0]
[2025-Nov-03 22:07:01.928142] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=719124203154139392, total user_mentions count=0]
[2025-Nov-03 22:07:01.928186] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=719124203154139392, return count=0]
[2025-Nov-03 22:07:07.288006] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=679383394805264000, usernames count=0]
[2025-Nov-03 22:07:07.288238] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=679383394805264000, total user_mentions count=0]
[2025-Nov-03 22:07:07.288283] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=679383394805264000, return count=0]
[2025-Nov-03 22:07:12.648636] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=1093942302523724160, usernames count=0]
[2025-Nov-03 22:07:12.648836] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=1093942302523724160, total user_mentions count=0]
[2025-Nov-03 22:07:12.648889] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=1093942302523724160, return count=0]
[2025-Nov-03 22:07:18.007530] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=267835807221785344, usernames count=0]
[2025-Nov-03 22:07:18.007698] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=267835807221785344, total user_mentions count=0]
[2025-Nov-03 22:07:18.007741] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=267835807221785344, return count=0]
[2025-Nov-03 22:07:23.375894] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=619169184568723968, usernames count=0]
[2025-Nov-03 22:07:23.376033] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=619169184568723968, total user_mentions count=0]
[2025-Nov-03 22:07:23.376080] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=619169184568723968, return count=0]
[2025-Nov-03 22:07:28.787646] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=762886346554251520, usernames count=0]
[2025-Nov-03 22:07:28.787844] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=762886346554251520, total user_mentions count=0]
[2025-Nov-03 22:07:28.787884] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=762886346554251520, return count=0]
[2025-Nov-03 22:07:34.188402] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=875720380098239744, usernames count=0]
[2025-Nov-03 22:07:34.188661] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=875720380098239744, total user_mentions count=0]
[2025-Nov-03 22:07:34.188715] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=875720380098239744, return count=0]
[2025-Nov-03 22:07:39.542455] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=636673960088665344, usernames count=0]
[2025-Nov-03 22:07:39.542588] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=636673960088665344, total user_mentions count=0]
[2025-Nov-03 22:07:39.542622] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=636673960088665344, return count=0]
[2025-Nov-03 22:07:44.904830] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=918068485788391296, usernames count=0]
[2025-Nov-03 22:07:44.905097] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=918068485788391296, total user_mentions count=0]
[2025-Nov-03 22:07:44.905214] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=918068485788391296, return count=0]
[2025-Nov-03 22:07:50.263613] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=921791093515540736, usernames count=0]
[2025-Nov-03 22:07:50.263844] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=921791093515540736, total user_mentions count=0]
[2025-Nov-03 22:07:50.263889] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=921791093515540736, return count=0]
[2025-Nov-03 22:07:55.616156] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=50431138249779744, usernames count=0]
[2025-Nov-03 22:07:55.616431] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=50431138249779744, total user_mentions count=0]
[2025-Nov-03 22:07:55.616848] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=50431138249779744, return count=0]
[2025-Nov-03 22:08:00.977238] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=390769173123907392, usernames count=0]
