[2025-Nov-03 22:26:42.969925] <info>: (PostStorageService.cpp:88:main) Starting the post-storage-service server...
[2025-Nov-03 22:28:34.451204] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=363213503238420864, post_ids count=0]
[2025-Nov-03 22:28:34.479981] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=603364211181735040, post_id=1419647413714587648]
[2025-Nov-03 22:28:34.481178] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=603364211181735040, post_id=1419647413714587648]
[2025-Nov-03 22:28:34.507414] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=831808656933502080, post_ids count=0]
[2025-Nov-03 22:28:34.527991] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=550534217673788288, post_ids count=0]
[2025-Nov-03 22:28:40.122956] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=511702419526761152, post_ids count=0]
[2025-Nov-03 22:28:40.146854] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=763999306239106816, post_id=1419647413737799680]
[2025-Nov-03 22:28:40.148007] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=763999306239106816, post_id=1419647413737799680]
[2025-Nov-03 22:28:40.171575] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=343673993807585344, post_ids count=0]
[2025-Nov-03 22:28:40.183807] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=479707825655105, post_ids count=0]
[2025-Nov-03 22:28:45.933654] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=649024950922747136, post_ids count=0]
[2025-Nov-03 22:28:45.958286] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=582325518291394432, post_id=1419647413761609728]
[2025-Nov-03 22:28:45.959213] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=582325518291394432, post_id=1419647413761609728]
[2025-Nov-03 22:28:45.998307] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=388592729605675264, post_ids count=0]
[2025-Nov-03 22:28:46.026078] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=215719835716284544, post_ids count=0]
[2025-Nov-03 22:28:51.682081] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=748435947136997632, post_ids count=0]
[2025-Nov-03 22:28:51.700179] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=630275039986923264, post_id=1419647413785133056]
[2025-Nov-03 22:28:51.701071] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=630275039986923264, post_id=1419647413785133056]
[2025-Nov-03 22:28:51.726560] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=1078122356070949504, post_ids count=0]
[2025-Nov-03 22:28:51.740079] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=543207228225030592, post_ids count=0]
[2025-Nov-03 22:28:57.376849] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=235236218899893536, post_ids count=0]
[2025-Nov-03 22:28:57.407203] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=440260253142898048, post_id=1419647413808488448]
[2025-Nov-03 22:28:57.408108] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=440260253142898048, post_id=1419647413808488448]
[2025-Nov-03 22:28:57.425173] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=232667548552769440, post_ids count=0]
[2025-Nov-03 22:28:57.436784] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=60091818331463160, post_ids count=0]
[2025-Nov-03 22:29:03.073955] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=823219370461480576, post_ids count=0]
[2025-Nov-03 22:29:03.088736] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=999100663047509504, post_id=1419647413831786496]
[2025-Nov-03 22:29:03.089545] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=999100663047509504, post_id=1419647413831786496]
[2025-Nov-03 22:29:03.105428] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=898307223190508800, post_ids count=0]
[2025-Nov-03 22:29:03.121716] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=1003407394253545216, post_ids count=0]
[2025-Nov-03 22:29:08.806925] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=637007594691843968, post_ids count=0]
[2025-Nov-03 22:29:08.828717] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=452929434877008896, post_id=1419647413855281152]
[2025-Nov-03 22:29:08.829541] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=452929434877008896, post_id=1419647413855281152]
[2025-Nov-03 22:29:08.852495] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=259416697487135392, post_ids count=0]
[2025-Nov-03 22:29:08.874110] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=620257890069936512, post_ids count=0]
[2025-Nov-03 22:29:14.555852] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=115556990408483584, post_ids count=0]
[2025-Nov-03 22:29:14.576873] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=478499297816789312, post_id=1419647413878833152]
[2025-Nov-03 22:29:14.577751] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=478499297816789312, post_id=1419647413878833152]
[2025-Nov-03 22:29:14.596118] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=45269745285356144, post_ids count=0]
[2025-Nov-03 22:29:14.613550] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=547377525377575808, post_ids count=0]
[2025-Nov-03 22:29:20.229374] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=654492800027976960, post_ids count=0]
[2025-Nov-03 22:29:20.250728] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=835475391814910592, post_id=1419647413902073856]
[2025-Nov-03 22:29:20.253827] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=835475391814910592, post_id=1419647413902073856]
[2025-Nov-03 22:29:20.272691] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=548200598233008640, post_ids count=0]
[2025-Nov-03 22:29:20.284433] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=989422971751128704, post_ids count=0]
[2025-Nov-03 22:29:25.938971] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=1124509056018762752, post_ids count=0]
