[2025-Nov-03 22:26:43.213097] <info>: (UrlShortenService.cpp:89:main) Starting the url-shorten-service server...
[2025-Nov-03 22:28:34.477031] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=603364211181735040, url count=0]
[2025-Nov-03 22:28:34.477368] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=603364211181735040, return count=0]
[2025-Nov-03 22:28:40.141502] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=763999306239106816, url count=0]
[2025-Nov-03 22:28:40.141632] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=763999306239106816, return count=0]
[2025-Nov-03 22:28:45.954877] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=582325518291394432, url count=0]
[2025-Nov-03 22:28:45.955451] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=582325518291394432, return count=0]
[2025-Nov-03 22:28:51.696783] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=630275039986923264, url count=0]
[2025-Nov-03 22:28:51.696938] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=630275039986923264, return count=0]
[2025-Nov-03 22:28:57.400819] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=440260253142898048, url count=0]
[2025-Nov-03 22:28:57.400958] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=440260253142898048, return count=0]
[2025-Nov-03 22:29:03.087207] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=999100663047509504, url count=0]
[2025-Nov-03 22:29:03.087489] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=999100663047509504, return count=0]
[2025-Nov-03 22:29:08.826444] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=452929434877008896, url count=0]
[2025-Nov-03 22:29:08.826584] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=452929434877008896, return count=0]
[2025-Nov-03 22:29:14.573629] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=478499297816789312, url count=0]
[2025-Nov-03 22:29:14.573803] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=478499297816789312, return count=0]
[2025-Nov-03 22:29:20.246658] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=835475391814910592, url count=0]
[2025-Nov-03 22:29:20.246818] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=835475391814910592, return count=0]
[2025-Nov-03 22:29:25.958018] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=339330598480847104, url count=0]
[2025-Nov-03 22:29:25.958286] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=339330598480847104, return count=0]
[2025-Nov-03 22:29:31.716507] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=7405124381902024, url count=0]
[2025-Nov-03 22:29:31.716773] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=7405124381902024, return count=0]
[2025-Nov-03 22:29:37.388667] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=899577998512697472, url count=0]
[2025-Nov-03 22:29:37.388906] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=899577998512697472, return count=0]
[2025-Nov-03 22:29:43.197895] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=795846785689218432, url count=0]
[2025-Nov-03 22:29:43.198051] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=795846785689218432, return count=0]
[2025-Nov-03 22:29:48.814665] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=749619381510646400, url count=0]
[2025-Nov-03 22:29:48.814832] <info>: (UrlShortenHandler.h:174:ComposeUrls) ComposeUrls completed [req_id=749619381510646400, return count=0]
[2025-Nov-03 22:29:54.553707] <info>: (UrlShortenHandler.h:75:ComposeUrls) Received ComposeUrls request [req_id=529985236399617792, url count=0]
