[2025-Nov-03 22:26:39.643105] <info>: (UserMentionService.cpp:75:main) Starting the user-mention-service server...
[2025-Nov-03 22:28:34.477155] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=603364211181735040, usernames count=0]
[2025-Nov-03 22:28:34.477384] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=603364211181735040, total user_mentions count=0]
[2025-Nov-03 22:28:34.477417] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=603364211181735040, return count=0]
[2025-Nov-03 22:28:40.140938] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=763999306239106816, usernames count=0]
[2025-Nov-03 22:28:40.141080] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=763999306239106816, total user_mentions count=0]
[2025-Nov-03 22:28:40.141121] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=763999306239106816, return count=0]
[2025-Nov-03 22:28:45.954876] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=582325518291394432, usernames count=0]
[2025-Nov-03 22:28:45.955015] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=582325518291394432, total user_mentions count=0]
[2025-Nov-03 22:28:45.955066] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=582325518291394432, return count=0]
[2025-Nov-03 22:28:51.697738] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=630275039986923264, usernames count=0]
[2025-Nov-03 22:28:51.698266] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=630275039986923264, total user_mentions count=0]
[2025-Nov-03 22:28:51.698402] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=630275039986923264, return count=0]
[2025-Nov-03 22:28:57.400944] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=440260253142898048, usernames count=0]
[2025-Nov-03 22:28:57.401477] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=440260253142898048, total user_mentions count=0]
[2025-Nov-03 22:28:57.401519] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=440260253142898048, return count=0]
[2025-Nov-03 22:29:03.087093] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=999100663047509504, usernames count=0]
[2025-Nov-03 22:29:03.087409] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=999100663047509504, total user_mentions count=0]
[2025-Nov-03 22:29:03.087504] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=999100663047509504, return count=0]
[2025-Nov-03 22:29:08.826889] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=452929434877008896, usernames count=0]
[2025-Nov-03 22:29:08.827064] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=452929434877008896, total user_mentions count=0]
[2025-Nov-03 22:29:08.827109] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=452929434877008896, return count=0]
[2025-Nov-03 22:29:14.573620] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=478499297816789312, usernames count=0]
[2025-Nov-03 22:29:14.573758] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=478499297816789312, total user_mentions count=0]
[2025-Nov-03 22:29:14.573806] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=478499297816789312, return count=0]
[2025-Nov-03 22:29:20.246673] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=835475391814910592, usernames count=0]
[2025-Nov-03 22:29:20.246835] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=835475391814910592, total user_mentions count=0]
[2025-Nov-03 22:29:20.246878] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=835475391814910592, return count=0]
[2025-Nov-03 22:29:25.958885] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=339330598480847104, usernames count=0]
[2025-Nov-03 22:29:25.959114] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=339330598480847104, total user_mentions count=0]
[2025-Nov-03 22:29:25.959200] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=339330598480847104, return count=0]
[2025-Nov-03 22:29:31.717435] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=7405124381902024, usernames count=0]
[2025-Nov-03 22:29:31.717656] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=7405124381902024, total user_mentions count=0]
[2025-Nov-03 22:29:31.717755] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=7405124381902024, return count=0]
[2025-Nov-03 22:29:37.388736] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=899577998512697472, usernames count=0]
[2025-Nov-03 22:29:37.389121] <info>: (UserMentionHandler.h:236:ComposeUserMentions) ComposeUserMentions MongoDB hit [req_id=899577998512697472, total user_mentions count=0]
[2025-Nov-03 22:29:37.389227] <info>: (UserMentionHandler.h:242:ComposeUserMentions) ComposeUserMentions completed [req_id=899577998512697472, return count=0]
[2025-Nov-03 22:29:43.198065] <info>: (UserMentionHandler.h:44:ComposeUserMentions) Received ComposeUserMentions request [req_id=795846785689218432, usernames count=0]
