[2025-Nov-04 00:01:56.527902] <info>: (PostStorageService.cpp:88:main) Starting the post-storage-service server...
[2025-Nov-04 00:03:50.432911] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=412727267331725440, post_ids count=0]
[2025-Nov-04 00:03:50.450973] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=329994970291196992, post_id=1401633038617726976]
[2025-Nov-04 00:03:50.452202] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=329994970291196992, post_id=1401633038617726976]
[2025-Nov-04 00:03:50.466384] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=42924651839532240, post_ids count=0]
[2025-Nov-04 00:03:50.478909] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=36110648538632096, post_ids count=0]
[2025-Nov-04 00:03:55.801003] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=881552018740730112, post_ids count=0]
[2025-Nov-04 00:03:55.811567] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=728674268831329664, post_id=1401633038639697920]
[2025-Nov-04 00:03:55.812306] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=728674268831329664, post_id=1401633038639697920]
[2025-Nov-04 00:03:55.821951] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=97651744588806272, post_ids count=0]
[2025-Nov-04 00:03:55.829140] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=566688889522139136, post_ids count=0]
[2025-Nov-04 00:04:01.159652] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=838729162727095808, post_ids count=0]
[2025-Nov-04 00:04:01.172881] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=282680786677904000, post_id=1401633038661652480]
[2025-Nov-04 00:04:01.173682] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=282680786677904000, post_id=1401633038661652480]
[2025-Nov-04 00:04:01.184829] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=1142600112866472064, post_ids count=0]
[2025-Nov-04 00:04:01.194883] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=903230251896917632, post_ids count=0]
[2025-Nov-04 00:04:06.525875] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=1150108569560208768, post_ids count=0]
[2025-Nov-04 00:04:06.540150] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=444724001516662080, post_id=1401633038683631616]
[2025-Nov-04 00:04:06.540910] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=444724001516662080, post_id=1401633038683631616]
[2025-Nov-04 00:04:06.553145] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=130487598588035152, post_ids count=0]
[2025-Nov-04 00:04:06.561132] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=548641727527111744, post_ids count=0]
[2025-Nov-04 00:04:11.888398] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=800145497324602368, post_ids count=0]
[2025-Nov-04 00:04:11.899884] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=800039496286457600, post_id=1401633038705594368]
[2025-Nov-04 00:04:11.900651] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=800039496286457600, post_id=1401633038705594368]
[2025-Nov-04 00:04:11.910901] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=934249549747949440, post_ids count=0]
[2025-Nov-04 00:04:11.918125] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=88520693847588400, post_ids count=0]
[2025-Nov-04 00:04:17.245380] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=1082783400305634432, post_ids count=0]
[2025-Nov-04 00:04:17.258593] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=921860841681087360, post_id=1401633038727540736]
[2025-Nov-04 00:04:17.259457] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=921860841681087360, post_id=1401633038727540736]
[2025-Nov-04 00:04:17.268752] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=808882729043127296, post_ids count=0]
[2025-Nov-04 00:04:17.274896] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=928819808946005888, post_ids count=0]
[2025-Nov-04 00:04:22.605000] <info>: (PostStorageHandler.h:367:ReadPosts) Received ReadPosts request [req_id=71199076592194504, post_ids count=0]
[2025-Nov-04 00:04:22.621233] <info>: (PostStorageHandler.h:52:StorePost) Received StorePost request [req_id=576569013827515264, post_id=1401633038749495296]
[2025-Nov-04 00:04:22.622032] <info>: (PostStorageHandler.h:164:StorePost) Post inserted into MongoDB successfully [req_id=576569013827515264, post_id=1401633038749495296]
