timestamp,value,metric,device
2025-11-03 22:03:46,85.76602133333334,"device=""eth0""",eth0
2025-11-03 22:04:01,140.2905488888889,"device=""eth0""",eth0
2025-11-03 22:04:16,195.03282933333335,"device=""eth0""",eth0
2025-11-03 22:04:31,249.77583711111114,"device=""eth0""",eth0
2025-11-03 22:04:46,304.5197221333333,"device=""eth0""",eth0
2025-11-03 22:05:01,359.28560207407406,"device=""eth0""",eth0
2025-11-03 22:05:16,414.04524952380945,"device=""eth0""",eth0
2025-11-03 22:05:31,468.67134766666663,"device=""eth0""",eth0
2025-11-03 22:05:46,523.3301804444444,"device=""eth0""",eth0
2025-11-03 22:06:01,577.9786863999999,"device=""eth0""",eth0
2025-11-03 22:06:16,632.7255511111111,"device=""eth0""",eth0
2025-11-03 22:06:31,687.3671583703704,"device=""eth0""",eth0
2025-11-03 22:06:46,742.0750940170941,"device=""eth0""",eth0
2025-11-03 22:07:01,796.7412476190476,"device=""eth0""",eth0
2025-11-03 22:07:16,851.4143853037037,"device=""eth0""",eth0
2025-11-03 22:07:31,906.0840973888888,"device=""eth0""",eth0
2025-11-03 22:07:46,960.7228546405229,"device=""eth0""",eth0
2025-11-03 22:08:01,1015.4614254814816,"device=""eth0""",eth0
2025-11-03 22:08:16,1070.12773174269,"device=""eth0""",eth0
2025-11-03 22:08:31,1093.617543859649,"device=""eth0""",eth0
2025-11-03 22:08:46,1093.7894736842104,"device=""eth0""",eth0
2025-11-03 22:09:01,1093.7263157894736,"device=""eth0""",eth0
2025-11-03 22:09:16,1093.7087719298245,"device=""eth0""",eth0
2025-11-03 22:09:31,1093.635087719298,"device=""eth0""",eth0
2025-11-03 22:09:46,1093.5614035087717,"device=""eth0""",eth0
2025-11-03 22:10:01,1093.4701754385965,"device=""eth0""",eth0
2025-11-03 22:10:16,1093.4280701754385,"device=""eth0""",eth0
2025-11-03 22:10:31,1093.4245614035087,"device=""eth0""",eth0
2025-11-03 22:10:46,1093.417543859649,"device=""eth0""",eth0
2025-11-03 22:11:01,1093.3824561403508,"device=""eth0""",eth0
2025-11-03 22:11:16,1093.3929824561403,"device=""eth0""",eth0
2025-11-03 22:11:31,1093.3508771929824,"device=""eth0""",eth0
2025-11-03 22:11:46,1093.4421052631578,"device=""eth0""",eth0
2025-11-03 22:12:01,1093.361403508772,"device=""eth0""",eth0
2025-11-03 22:12:16,1093.4456140350876,"device=""eth0""",eth0
2025-11-03 22:12:31,1093.501754385965,"device=""eth0""",eth0
2025-11-03 22:12:46,1093.459649122807,"device=""eth0""",eth0
2025-11-03 22:13:01,1093.494736842105,"device=""eth0""",eth0
2025-11-03 22:13:16,1093.557894736842,"device=""eth0""",eth0
2025-11-03 22:13:31,1093.5403508771929,"device=""eth0""",eth0
2025-11-03 22:13:46,1093.6315789473683,"device=""eth0""",eth0
2025-11-03 22:14:01,1093.5684210526315,"device=""eth0""",eth0
2025-11-03 22:14:16,1093.6105263157895,"device=""eth0""",eth0
2025-11-03 22:14:31,1093.6210526315788,"device=""eth0""",eth0
2025-11-03 22:14:46,1093.6421052631579,"device=""eth0""",eth0
2025-11-03 22:15:01,1093.740350877193,"device=""eth0""",eth0
2025-11-03 22:15:16,1093.7368421052631,"device=""eth0""",eth0
2025-11-03 22:15:31,1093.8070175438595,"device=""eth0""",eth0
2025-11-03 22:15:46,1093.7859649122806,"device=""eth0""",eth0
2025-11-03 22:16:01,1093.8526315789472,"device=""eth0""",eth0
2025-11-03 22:16:16,1093.8701754385963,"device=""eth0""",eth0
2025-11-03 22:16:31,1093.8456140350877,"device=""eth0""",eth0
2025-11-03 22:16:46,1093.940350877193,"device=""eth0""",eth0
2025-11-03 22:17:01,1093.915789473684,"device=""eth0""",eth0
2025-11-03 22:17:16,1093.957894736842,"device=""eth0""",eth0
2025-11-03 22:17:31,1093.9438596491227,"device=""eth0""",eth0
2025-11-03 22:17:46,1093.9754385964911,"device=""eth0""",eth0
2025-11-03 22:18:01,1094.0350877192982,"device=""eth0""",eth0
2025-11-03 22:18:16,1094.1157894736841,"device=""eth0""",eth0
2025-11-03 22:18:31,1094.1263157894737,"device=""eth0""",eth0
2025-11-03 22:18:46,1094.2877192982455,"device=""eth0""",eth0
2025-11-03 22:19:01,1094.3543859649121,"device=""eth0""",eth0
2025-11-03 22:19:16,1094.3894736842103,"device=""eth0""",eth0
2025-11-03 22:19:31,1094.4456140350876,"device=""eth0""",eth0
2025-11-03 22:19:46,1094.494736842105,"device=""eth0""",eth0
2025-11-03 22:20:01,1094.5543859649122,"device=""eth0""",eth0
2025-11-03 22:20:16,1094.6245614035086,"device=""eth0""",eth0
2025-11-03 22:20:31,1094.7017543859647,"device=""eth0""",eth0
2025-11-03 22:20:46,1094.6631578947367,"device=""eth0""",eth0
2025-11-03 22:21:01,1094.8140350877193,"device=""eth0""",eth0
2025-11-03 22:21:16,1094.873684210526,"device=""eth0""",eth0
2025-11-03 22:21:31,1095.017543859649,"device=""eth0""",eth0
2025-11-03 22:21:46,1095.0280701754384,"device=""eth0""",eth0
2025-11-03 22:22:01,1095.0842105263157,"device=""eth0""",eth0
2025-11-03 22:22:16,1095.19649122807,"device=""eth0""",eth0
2025-11-03 22:22:31,1095.19649122807,"device=""eth0""",eth0
2025-11-03 22:22:46,1095.256140350877,"device=""eth0""",eth0
2025-11-03 22:23:01,1095.3157894736842,"device=""eth0""",eth0
2025-11-03 22:23:16,1095.2842105263157,"device=""eth0""",eth0
2025-11-03 22:03:46,0.0,"device=""lo""",lo
2025-11-03 22:04:01,0.0,"device=""lo""",lo
2025-11-03 22:04:16,0.0,"device=""lo""",lo
2025-11-03 22:04:31,0.0,"device=""lo""",lo
2025-11-03 22:04:46,0.0,"device=""lo""",lo
2025-11-03 22:05:01,0.0,"device=""lo""",lo
2025-11-03 22:05:16,0.0,"device=""lo""",lo
2025-11-03 22:05:31,0.0,"device=""lo""",lo
2025-11-03 22:05:46,0.0,"device=""lo""",lo
2025-11-03 22:06:01,0.0,"device=""lo""",lo
2025-11-03 22:06:16,0.0,"device=""lo""",lo
2025-11-03 22:06:31,0.0,"device=""lo""",lo
2025-11-03 22:06:46,0.0,"device=""lo""",lo
2025-11-03 22:07:01,0.0,"device=""lo""",lo
2025-11-03 22:07:16,0.0,"device=""lo""",lo
2025-11-03 22:07:31,0.0,"device=""lo""",lo
2025-11-03 22:07:46,0.0,"device=""lo""",lo
2025-11-03 22:08:01,0.0,"device=""lo""",lo
2025-11-03 22:08:16,0.0,"device=""lo""",lo
2025-11-03 22:08:31,0.0,"device=""lo""",lo
2025-11-03 22:08:46,0.0,"device=""lo""",lo
2025-11-03 22:09:01,0.0,"device=""lo""",lo
2025-11-03 22:09:16,0.0,"device=""lo""",lo
2025-11-03 22:09:31,0.0,"device=""lo""",lo
2025-11-03 22:09:46,0.0,"device=""lo""",lo
2025-11-03 22:10:01,0.0,"device=""lo""",lo
2025-11-03 22:10:16,0.0,"device=""lo""",lo
2025-11-03 22:10:31,0.0,"device=""lo""",lo
2025-11-03 22:10:46,0.0,"device=""lo""",lo
2025-11-03 22:11:01,0.0,"device=""lo""",lo
2025-11-03 22:11:16,0.0,"device=""lo""",lo
2025-11-03 22:11:31,0.0,"device=""lo""",lo
2025-11-03 22:11:46,0.0,"device=""lo""",lo
2025-11-03 22:12:01,0.0,"device=""lo""",lo
2025-11-03 22:12:16,0.0,"device=""lo""",lo
2025-11-03 22:12:31,0.0,"device=""lo""",lo
2025-11-03 22:12:46,0.0,"device=""lo""",lo
2025-11-03 22:13:01,0.0,"device=""lo""",lo
2025-11-03 22:13:16,0.0,"device=""lo""",lo
2025-11-03 22:13:31,0.0,"device=""lo""",lo
2025-11-03 22:13:46,0.0,"device=""lo""",lo
2025-11-03 22:14:01,0.0,"device=""lo""",lo
2025-11-03 22:14:16,0.0,"device=""lo""",lo
2025-11-03 22:14:31,0.0,"device=""lo""",lo
2025-11-03 22:14:46,0.0,"device=""lo""",lo
2025-11-03 22:15:01,0.0,"device=""lo""",lo
2025-11-03 22:15:16,0.0,"device=""lo""",lo
2025-11-03 22:15:31,0.0,"device=""lo""",lo
2025-11-03 22:15:46,0.0,"device=""lo""",lo
2025-11-03 22:16:01,0.0,"device=""lo""",lo
2025-11-03 22:16:16,0.0,"device=""lo""",lo
2025-11-03 22:16:31,0.0,"device=""lo""",lo
2025-11-03 22:16:46,0.0,"device=""lo""",lo
2025-11-03 22:17:01,0.0,"device=""lo""",lo
2025-11-03 22:17:16,0.0,"device=""lo""",lo
2025-11-03 22:17:31,0.0,"device=""lo""",lo
2025-11-03 22:17:46,0.0,"device=""lo""",lo
2025-11-03 22:18:01,0.0,"device=""lo""",lo
2025-11-03 22:18:16,0.0,"device=""lo""",lo
2025-11-03 22:18:31,0.0,"device=""lo""",lo
2025-11-03 22:18:46,0.0,"device=""lo""",lo
2025-11-03 22:19:01,0.0,"device=""lo""",lo
2025-11-03 22:19:16,0.0,"device=""lo""",lo
2025-11-03 22:19:31,0.0,"device=""lo""",lo
2025-11-03 22:19:46,0.0,"device=""lo""",lo
2025-11-03 22:20:01,0.0,"device=""lo""",lo
2025-11-03 22:20:16,0.0,"device=""lo""",lo
2025-11-03 22:20:31,0.0,"device=""lo""",lo
2025-11-03 22:20:46,0.0,"device=""lo""",lo
2025-11-03 22:21:01,0.0,"device=""lo""",lo
2025-11-03 22:21:16,0.0,"device=""lo""",lo
2025-11-03 22:21:31,0.0,"device=""lo""",lo
2025-11-03 22:21:46,0.0,"device=""lo""",lo
2025-11-03 22:22:01,0.0,"device=""lo""",lo
2025-11-03 22:22:16,0.0,"device=""lo""",lo
2025-11-03 22:22:31,0.0,"device=""lo""",lo
2025-11-03 22:22:46,0.0,"device=""lo""",lo
2025-11-03 22:23:01,0.0,"device=""lo""",lo
2025-11-03 22:23:16,0.0,"device=""lo""",lo
